peak_hour,year,season,community,num_stations,total_docks,docks_in_service,available_docks,available_bikes,percent_full
Yes,2013,Fall,HYDE PARK,5,14.931891951557862,14.92565941477107,8.696129173206987,6.229530241564083,41.737052068862525
Yes,2013,Fall,KENWOOD,4,13.896865861887981,13.896865861887981,8.20542345519595,5.6914424066920315,40.95486322783583
Yes,2013,Fall,LAKE VIEW,34,16.2415920964481,16.232937754004556,9.134211770065352,7.098725983939206,43.730383812923804
Yes,2013,Fall,LINCOLN PARK,36,16.082995116261955,16.073786560909063,8.557375348055583,7.516411212853481,46.76192000168245
Yes,2013,Fall,LINCOLN SQUARE,7,15.511048747308775,15.492438023135714,8.510007981426007,6.982430041709708,45.06992399312787
Yes,2013,Fall,LOGAN SQUARE,12,14.66594216898506,14.683571867500195,8.923215341948385,5.76035652555181,39.229940627058625
Yes,2013,Fall,LOOP,27,23.0027853451412,23.020531957937518,14.34288944233255,8.677642515604967,37.69523020345714
Yes,2013,Fall,LOWER WEST SIDE,13,14.076923076923077,14.074898633644978,8.348972221226367,5.7259264124186116,40.681830551384714
Yes,2013,Fall,NEAR NORTH SIDE,34,19.41560247178097,19.40593837601091,11.299771614894087,8.106166761116821,41.771578390341816
Yes,2013,Fall,NEAR SOUTH SIDE,11,16.409231568730522,16.40139761074855,9.614928654560707,6.786468956187845,41.37738208200243
Yes,2013,Fall,NEAR WEST SIDE,41,17.72308834582685,17.719358799831994,11.110213553561605,6.60914524627039,37.29900907211752
Yes,2013,Fall,NORTH CENTER,6,14.319587113543776,14.316149472150453,7.562367179334677,6.753782292815778,47.175969390051925
Yes,2013,Fall,SOUTH LAWNDALE,1,15,14.807614065678582,9.055507120023249,5.752106945655333,38.84560281043314
Yes,2013,Fall,UPTOWN,12,14.963087205338958,14.85863099931602,8.58872310701283,6.26990789230319,42.19707651796326
Yes,2013,Fall,WASHINGTON PARK,1,15,15,8.176951338381945,6.8230486616180555,45.4869910774537
Yes,2013,Fall,WEST TOWN,29,15.2744167767657,15.26476804011623,9.1495782414066,6.115189798709632,40.06081050585731
Yes,2013,Fall,WOODLAWN,1,5.4,5.4,5.4,0,0
Yes,2013,Summer,ARMOUR SQUARE,3,12.333333333333334,12.333333333333334,6.804653066687986,5.528680266645348,44.827137297124445
Yes,2013,Summer,BRIDGEPORT,2,15,15,8.420812069440617,6.579187930559383,43.86125287039589
Yes,2013,Summer,DOUGLAS,6,13.505072046109511,13.505072046109511,8.274856578449587,5.2302154676599235,38.72778649238398
Yes,2013,Summer,GRAND BOULEVARD,3,13.666666666666666,13.666666666666666,7.11647252843261,6.5501941382340565,47.92824979195651
Yes,2013,Summer,HYDE PARK,2,15,15,7.073686770428016,7.926313229571985,52.842088197146566
Yes,2013,Summer,KENWOOD,2,15,15,10.68920233463035,4.31079766536965,28.738651102464335
Yes,2013,Summer,LAKE VIEW,17,17.11764705882353,16.958733223305202,8.490115048526256,8.468618174778948,49.936620048607864
Yes,2013,Summer,LINCOLN PARK,22,16.172305679472796,16.174199722570368,8.008326847246801,8.165872875323565,50.4870288199079
Yes,2013,Summer,LINCOLN SQUARE,4,14.75,14.75,7.320768482490273,7.429231517509727,50.367671305150694
Yes,2013,Summer,LOGAN SQUARE,6,14.330548382196566,14.330548382196566,8.41201111406853,5.918537268128037,41.30014504874692
Yes,2013,Summer,LOOP,20,22.013957829937965,22.01393591212479,13.697273184932005,8.316662727192785,37.77908121651318
Yes,2013,Summer,LOWER WEST SIDE,12,14,14,8.015809798398376,5.984190201601624,42.74421572572589
Yes,2013,Summer,NEAR NORTH SIDE,30,19.26377903849871,19.24438489115573,10.881744710250269,8.36264018090546,43.45496220431932
Yes,2013,Summer,NEAR SOUTH SIDE,8,16.5,16.5,9.01672903460408,7.48327096539592,45.35315736603588
Yes,2013,Summer,NEAR WEST SIDE,33,18.356917937385095,18.356403990835517,10.860355562210632,7.496048428624884,40.83614869430476
Yes,2013,Summer,NORTH CENTER,3,15,15,6.960878678656942,8.039121321343059,53.59414214228706
Yes,2013,Summer,UPTOWN,4,15,15,6.539032101167315,8.460967898832685,56.40645265888457
Yes,2013,Summer,WASHINGTON PARK,1,15,15,8.956292026897215,6.043707973102785,40.29138648735191
Yes,2013,Summer,WEST TOWN,22,15.723271812777986,15.723254397243329,8.949675384048543,6.7735790131947855,43.08000647997122
Yes,2013,Winter,ARMOUR SQUARE,4,13,13,8.441686367218281,4.558313632781718,35.06395102139783
